"","PRE_POST","Station","FechayHora","Species","Grupo","Cuando","hora_redondeo","hora"
"163","PRE","E33","03/09/2018 18:15","Gato",1,2018-09-03 18:15:00,2018-09-03 18:00:00,18
"164","PRE","E33","03/09/2018 18:15","Gato",1,2018-09-03 18:15:00,2018-09-03 18:00:00,18
"165","PRE","E33","03/09/2018 18:24","Gato",1,2018-09-03 18:24:00,2018-09-03 18:00:00,18
"166","PRE","E33","03/09/2018 18:24","Gato",1,2018-09-03 18:24:00,2018-09-03 18:00:00,18
"167","PRE","E33","03/09/2018 18:37","Gato",1,2018-09-03 18:37:00,2018-09-03 19:00:00,19
"168","PRE","E33","03/09/2018 18:44","Gato",1,2018-09-03 18:44:00,2018-09-03 19:00:00,19
"169","PRE","E33","03/09/2018 18:44","Gato",1,2018-09-03 18:44:00,2018-09-03 19:00:00,19
"170","PRE","E33","03/09/2018 18:47","Gato",1,2018-09-03 18:47:00,2018-09-03 19:00:00,19
"171","PRE","E33","03/09/2018 18:55","Gato",1,2018-09-03 18:55:00,2018-09-03 19:00:00,19
"172","PRE","E33","03/09/2018 19:09","Gato",1,2018-09-03 19:09:00,2018-09-03 19:00:00,19
"173","PRE","E33","03/09/2018 19:09","Gato",1,2018-09-03 19:09:00,2018-09-03 19:00:00,19
"174","PRE","E33","03/09/2018 19:11","Gato",1,2018-09-03 19:11:00,2018-09-03 19:00:00,19
"175","PRE","E33","03/09/2018 19:11","Gato",1,2018-09-03 19:11:00,2018-09-03 19:00:00,19
"176","PRE","E33","03/09/2018 19:44","Gato",1,2018-09-03 19:44:00,2018-09-03 20:00:00,20
"177","PRE","E33","03/09/2018 22:49","Gato",1,2018-09-03 22:49:00,2018-09-03 23:00:00,23
"178","PRE","E33","03/09/2018 23:14","Gato",1,2018-09-03 23:14:00,2018-09-03 23:00:00,23
"179","PRE","E33","04/09/2018 10:03","Gato",1,2018-09-04 10:03:00,2018-09-04 10:00:00,10
"180","PRE","E33","04/09/2018 10:06","Gato",1,2018-09-04 10:06:00,2018-09-04 10:00:00,10
"181","PRE","E33","04/09/2018 10:10","Gato",1,2018-09-04 10:10:00,2018-09-04 10:00:00,10
"182","PRE","E33","04/09/2018 10:21","Gato",1,2018-09-04 10:21:00,2018-09-04 10:00:00,10
