"","Station","Species","Cuando","hora_redondeo"
"275","E33","Gato_2018","08/09/2018 8:55","08/09/2018 9:00"
"276","E34","Gato_2018","03/09/2018 11:04","03/09/2018 11:00"
"277","E34","Gato_2018","03/09/2018 11:15","03/09/2018 11:00"
"278","E34","Gato_2018","03/09/2018 12:27","03/09/2018 12:00"
"279","E34","Gato_2018","03/09/2018 15:40","03/09/2018 16:00"
"280","E34","Gato_2018","03/09/2018 15:45","03/09/2018 16:00"
"281","E34","Gato_2018","03/09/2018 16:08","03/09/2018 16:00"
"282","E34","Gato_2018","03/09/2018 16:08","03/09/2018 16:00"
"283","E34","Gato_2018","03/09/2018 16:52","03/09/2018 17:00"
"284","E34","Gato_2018","03/09/2018 17:52","03/09/2018 18:00"
"285","E34","Gato_2018","03/09/2018 19:15","03/09/2018 19:00"
"286","E34","Gato_2018","04/09/2018 6:36","04/09/2018 7:00"
"287","E34","Gato_2018","04/09/2018 9:32","04/09/2018 10:00"
"288","E34","Gato_2018","04/09/2018 13:21","04/09/2018 13:00"
"289","E34","Gato_2018","04/09/2018 13:34","04/09/2018 14:00"
"290","E34","Gato_2018","04/09/2018 13:50","04/09/2018 14:00"
"291","E34","Gato_2018","04/09/2018 14:47","04/09/2018 15:00"
"292","E34","Gato_2018","04/09/2018 14:56","04/09/2018 15:00"
"293","E34","Gato_2018","04/09/2018 15:38","04/09/2018 16:00"
"294","E34","Gato_2018","04/09/2018 16:07","04/09/2018 16:00"
"295","E34","Gato_2018","04/09/2018 16:11","04/09/2018 16:00"
"296","E34","Gato_2018","04/09/2018 16:33","04/09/2018 17:00"
"297","E34","Gato_2018","04/09/2018 17:02","04/09/2018 17:00"
"298","E34","Gato_2018","04/09/2018 17:21","04/09/2018 17:00"
"299","E34","Gato_2018","04/09/2018 18:29","04/09/2018 18:00"
"300","E34","Gato_2018","04/09/2018 18:54","04/09/2018 19:00"
"301","E34","Gato_2018","05/09/2018 5:15","05/09/2018 5:00"
"302","E34","Gato_2018","05/09/2018 5:29","05/09/2018 5:00"
"303","E34","Gato_2018","05/09/2018 7:00","05/09/2018 7:00"
"304","E34","Gato_2018","05/09/2018 10:02","05/09/2018 10:00"
"305","E34","Gato_2018","05/09/2018 15:45","05/09/2018 16:00"
"306","E34","Gato_2018","05/09/2018 15:56","05/09/2018 16:00"
"307","E34","Gato_2018","05/09/2018 16:07","05/09/2018 16:00"
"308","E34","Gato_2018","05/09/2018 16:11","05/09/2018 16:00"
"309","E34","Gato_2018","05/09/2018 16:20","05/09/2018 16:00"
"310","E34","Gato_2018","05/09/2018 16:22","05/09/2018 16:00"
"311","E34","Gato_2018","05/09/2018 17:16","05/09/2018 17:00"
"312","E34","Gato_2018","05/09/2018 19:10","05/09/2018 19:00"
"313","E34","Gato_2018","05/09/2018 21:08","05/09/2018 21:00"
"314","E34","Gato_2018","05/09/2018 23:38","06/09/2018 0:00"
"315","E34","Gato_2018","06/09/2018 0:36","06/09/2018 1:00"
"316","E34","Gato_2018","06/09/2018 7:13","06/09/2018 7:00"
"317","E34","Gato_2018","06/09/2018 11:23","06/09/2018 11:00"
"318","E34","Gato_2018","06/09/2018 12:40","06/09/2018 13:00"
"319","E34","Gato_2018","06/09/2018 13:22","06/09/2018 13:00"
"320","E34","Gato_2018","06/09/2018 13:28","06/09/2018 13:00"
"321","E34","Gato_2018","06/09/2018 13:37","06/09/2018 14:00"
"322","E34","Gato_2018","06/09/2018 14:05","06/09/2018 14:00"
"323","E34","Gato_2018","06/09/2018 15:55","06/09/2018 16:00"
"324","E34","Gato_2018","06/09/2018 16:23","06/09/2018 16:00"
"325","E34","Gato_2018","06/09/2018 16:30","06/09/2018 17:00"
"326","E34","Gato_2018","06/09/2018 16:35","06/09/2018 17:00"
"327","E34","Gato_2018","06/09/2018 17:05","06/09/2018 17:00"
"328","E34","Gato_2018","06/09/2018 17:37","06/09/2018 18:00"
"329","E34","Gato_2018","06/09/2018 18:42","06/09/2018 19:00"
"330","E34","Gato_2018","06/09/2018 18:48","06/09/2018 19:00"
"331","E34","Gato_2018","06/09/2018 21:11","06/09/2018 21:00"
"332","E34","Gato_2018","06/09/2018 21:39","06/09/2018 22:00"
"333","E34","Gato_2018","07/09/2018 0:14","07/09/2018 0:00"
"334","E34","Gato_2018","07/09/2018 1:53","07/09/2018 2:00"
"335","E34","Gato_2018","07/09/2018 6:15","07/09/2018 6:00"
"336","E34","Gato_2018","07/09/2018 11:56","07/09/2018 12:00"
"337","E34","Gato_2018","07/09/2018 12:30","07/09/2018 13:00"
"338","E34","Gato_2018","07/09/2018 14:59","07/09/2018 15:00"
"339","E34","Gato_2018","07/09/2018 15:19","07/09/2018 15:00"
"340","E34","Gato_2018","07/09/2018 16:35","07/09/2018 17:00"
"341","E34","Gato_2018","07/09/2018 16:43","07/09/2018 17:00"
"342","E34","Gato_2018","07/09/2018 16:50","07/09/2018 17:00"
"343","E34","Gato_2018","07/09/2018 18:02","07/09/2018 18:00"
"344","E34","Gato_2018","07/09/2018 19:19","07/09/2018 19:00"
"345","E34","Gato_2018","07/09/2018 23:27","07/09/2018 23:00"
"346","E34","Gato_2018","08/09/2018 6:19","08/09/2018 6:00"
"347","E34","Gato_2018","08/09/2018 7:51","08/09/2018 8:00"
"348","E01","Gato_2019","03/09/2019 8:01","03/09/2019 8:00"
"349","E01","Gato_2019","03/09/2019 12:08","03/09/2019 12:00"
"350","E01","Gato_2019","03/09/2019 12:11","03/09/2019 12:00"
"351","E01","Gato_2019","05/09/2019 10:22","05/09/2019 10:00"
"352","E02","Gato_2019","22/08/2019 11:31","22/08/2019 12:00"
"353","E03","Gato_2019","26/08/2019 20:25","26/08/2019 20:00"
"354","E03","Gato_2019","26/08/2019 21:12","26/08/2019 21:00"
"355","E03","Gato_2019","26/08/2019 21:49","26/08/2019 22:00"
"356","E03","Gato_2019","26/08/2019 22:25","26/08/2019 22:00"
"357","E03","Gato_2019","26/08/2019 23:50","27/08/2019 0:00"
"358","E03","Gato_2019","27/08/2019 0:45","27/08/2019 1:00"
"359","E03","Gato_2019","27/08/2019 8:30","27/08/2019 9:00"
"360","E03","Gato_2019","27/08/2019 14:12","27/08/2019 14:00"
"361","E03","Gato_2019","27/08/2019 18:59","27/08/2019 19:00"
"362","E03","Gato_2019","27/08/2019 21:01","27/08/2019 21:00"
"363","E03","Gato_2019","27/08/2019 21:28","27/08/2019 21:00"
"364","E03","Gato_2019","28/08/2019 0:30","28/08/2019 1:00"
"365","E03","Gato_2019","28/08/2019 12:56","28/08/2019 13:00"
"366","E03","Gato_2019","28/08/2019 15:04","28/08/2019 15:00"
"367","E03","Gato_2019","28/08/2019 17:13","28/08/2019 17:00"
"368","E03","Gato_2019","28/08/2019 17:43","28/08/2019 18:00"
"369","E03","Gato_2019","28/08/2019 18:21","28/08/2019 18:00"
"370","E03","Gato_2019","29/08/2019 12:03","29/08/2019 12:00"
"371","E03","Gato_2019","29/08/2019 13:58","29/08/2019 14:00"
"372","E03","Gato_2019","29/08/2019 15:40","29/08/2019 16:00"
"373","E03","Gato_2019","29/08/2019 21:34","29/08/2019 22:00"
"374","E03","Gato_2019","30/08/2019 6:24","30/08/2019 6:00"
"375","E03","Gato_2019","30/08/2019 13:38","30/08/2019 14:00"
"376","E03","Gato_2019","30/08/2019 16:06","30/08/2019 16:00"
"377","E03","Gato_2019","30/08/2019 18:45","30/08/2019 19:00"
"378","E03","Gato_2019","31/08/2019 6:22","31/08/2019 6:00"
"379","E05","Gato_2019","20/08/2019 13:31","20/08/2019 14:00"
"380","E05","Gato_2019","20/08/2019 20:10","20/08/2019 20:00"
"381","E05","Gato_2019","21/08/2019 10:47","21/08/2019 11:00"
"382","E05","Gato_2019","22/08/2019 14:43","22/08/2019 15:00"
"383","E05","Gato_2019","22/08/2019 19:35","22/08/2019 20:00"
"384","E05","Gato_2019","22/08/2019 21:27","22/08/2019 21:00"
"385","E05","Gato_2019","22/08/2019 23:38","23/08/2019 0:00"
