nro;PRE_POST;Station;FechayHora;Species2;Species;Grupo;Cuando;hora_redondeo;hora
207;PRE;E33;04/09/2018 18:03;Gato;Gato_2018;1;04/09/2018 18:03;04/09/2018 18:00;18
208;PRE;E33;04/09/2018 18:08;Gato;Gato_2018;1;04/09/2018 18:08;04/09/2018 18:00;18
209;PRE;E33;04/09/2018 18:08;Gato;Gato_2018;1;04/09/2018 18:08;04/09/2018 18:00;18
210;PRE;E33;04/09/2018 19:48;Gato;Gato_2018;1;04/09/2018 19:48;04/09/2018 20:00;20
211;PRE;E33;04/09/2018 22:16;Gato;Gato_2018;1;04/09/2018 22:16;04/09/2018 22:00;22
212;PRE;E33;04/09/2018 23:00;Gato;Gato_2018;1;04/09/2018 23:00;04/09/2018 23:00;23
213;PRE;E33;05/09/2018 7:20;Gato;Gato_2018;1;05/09/2018 7:20;05/09/2018 7:00;7
214;PRE;E33;05/09/2018 9:41;Gato;Gato_2018;1;05/09/2018 9:41;05/09/2018 10:00;10
215;PRE;E33;05/09/2018 10:38;Gato;Gato_2018;1;05/09/2018 10:38;05/09/2018 11:00;11
216;PRE;E33;05/09/2018 10:55;Gato;Gato_2018;1;05/09/2018 10:55;05/09/2018 11:00;11
217;PRE;E33;05/09/2018 10:58;Gato;Gato_2018;1;05/09/2018 10:58;05/09/2018 11:00;11
218;PRE;E33;05/09/2018 11:03;Gato;Gato_2018;1;05/09/2018 11:03;05/09/2018 11:00;11
219;PRE;E33;05/09/2018 11:16;Gato;Gato_2018;1;05/09/2018 11:16;05/09/2018 11:00;11
220;PRE;E33;05/09/2018 11:55;Gato;Gato_2018;1;05/09/2018 11:55;05/09/2018 12:00;12
221;PRE;E33;05/09/2018 13:57;Gato;Gato_2018;1;05/09/2018 13:57;05/09/2018 14:00;14
222;PRE;E34;06/09/2018 13:57;Gato;Gato_2018;1;06/09/2018 13:57;06/09/2018 14:00;14
223;PRE;E33;05/09/2018 14:10;Gato;Gato_2018;1;05/09/2018 14:10;05/09/2018 14:00;14
224;PRE;E33;05/09/2018 14:25;Gato;Gato_2018;1;05/09/2018 14:25;05/09/2018 14:00;14
225;PRE;E33;05/09/2018 14:30;Gato;Gato_2018;1;05/09/2018 14:30;05/09/2018 15:00;15
226;PRE;E34;06/09/2018 14:30;Gato;Gato_2018;1;06/09/2018 14:30;06/09/2018 15:00;15
227;PRE;E33;05/09/2018 17:04;Gato;Gato_2018;1;05/09/2018 17:04;05/09/2018 17:00;17
228;PRE;E33;05/09/2018 17:54;Gato;Gato_2018;1;05/09/2018 17:54;05/09/2018 18:00;18
229;PRE;E33;05/09/2018 17:54;Gato;Gato_2018;1;05/09/2018 17:54;05/09/2018 18:00;18
230;PRE;E33;05/09/2018 17:54;Gato;Gato_2018;1;05/09/2018 17:54;05/09/2018 18:00;18
231;PRE;E33;05/09/2018 17:56;Gato;Gato_2018;1;05/09/2018 17:56;05/09/2018 18:00;18
232;PRE;E33;05/09/2018 18:05;Gato;Gato_2018;1;05/09/2018 18:05;05/09/2018 18:00;18
233;PRE;E33;05/09/2018 18:05;Gato;Gato_2018;1;05/09/2018 18:05;05/09/2018 18:00;18
234;PRE;E33;05/09/2018 18:05;Gato;Gato_2018;1;05/09/2018 18:05;05/09/2018 18:00;18
235;PRE;E33;06/09/2018 9:23;Gato;Gato_2018;1;06/09/2018 9:23;06/09/2018 9:00;9
236;PRE;E33;06/09/2018 10:05;Gato;Gato_2018;1;06/09/2018 10:05;06/09/2018 10:00;10
237;PRE;E33;06/09/2018 10:13;Gato;Gato_2018;1;06/09/2018 10:13;06/09/2018 10:00;10
238;PRE;E33;06/09/2018 10:30;Gato;Gato_2018;1;06/09/2018 10:30;06/09/2018 11:00;11
239;PRE;E33;06/09/2018 10:35;Gato;Gato_2018;1;06/09/2018 10:35;06/09/2018 11:00;11
240;PRE;E33;06/09/2018 10:39;Gato;Gato_2018;1;06/09/2018 10:39;06/09/2018 11:00;11
